gene,de_coef,de_pval,dv_coef,dv_pval,de_fdr,dv_fdr,isgf3_binding,gene_type,ct
NOC2L,-0.07237094658605975,0.3511648835116488,0.05805762691320046,0.9158,0.44908305849912933,0.9797625762711865,False,upreg,Th
ISG15,3.508474007685932,1.8578102424614377e-10,-1.0577729411863075,0.0029997000299970002,9.542951945443585e-08,0.140076901400769,True,ISGF3,Th
AURKAIP1,-0.0042559048337993234,0.9639036096390361,0.055211235572180904,0.5476,0.9733784157626176,0.8873308096740273,False,upreg,Th
MRPL20,0.009772126225225337,0.8287171282871713,-0.03870003871667435,0.1334,0.8825522423569667,0.651116079614609,False,upreg,Th
SSU72,-0.12048101914293244,0.0287971202879712,-0.11474341656657289,0.3284,0.0520238714698284,0.808634792861151,False,upreg,Th
RER1,0.10354867965755474,0.060193980601939805,0.010808719393398877,0.7572,0.10082491750824918,0.9471689763779527,False,upreg,Th
RPL22,-0.2963513017948255,7.675211669504255e-09,0.02214532981938672,0.7984,9.691773392631679e-07,0.9518428900845504,False,upreg,Th
TNFRSF25,-0.17021467930398737,0.023006902070621185,-0.023897076137220176,0.3483393357342937,0.04240865561103738,0.808634792861151,False,upreg,Th
PARK7,-0.13615761403048957,0.0013998600139986002,-0.060349186083030706,0.9682,0.0036377475237299207,0.9913687132272966,False,upreg,Th
ENO1,0.497232075870064,2.7259178777880556e-07,0.34425508317914494,0.044995500449955005,3.3069440452163687e-06,0.49972428571428573,False,upreg,Th
SRM,0.2118912843620661,0.0033996600339966003,0.1451420960674494,0.1606,0.008028400501250215,0.7070988571428571,False,upreg,Th
NECAP2,-0.09255331570672348,0.1665833416658334,-0.08329444937356272,0.8538,0.2405856883852383,0.9640783114992723,False,upreg,Th
SDHB,0.021284408639124477,0.7663233676632337,-0.004044731617472972,0.3184,0.8330130315600315,0.808634792861151,False,upreg,Th
CAPZB,-0.20261917926479522,3.848811600576949e-06,0.12377335243681822,0.5854,1.6849484876389427e-05,0.898814342629482,False,upreg,Th
MINOS1,0.06803908196213951,0.17918208179182082,0.08151903340314956,0.908,0.255429776171319,0.9797625762711865,False,upreg,Th
DDOST,-0.26125876189291947,0.0007999200079992001,-0.13628890561651227,0.0616,0.0021935943060498223,0.523107027027027,False,upreg,Th
HP1BP3,-0.3167090132581509,0.00027885879779781587,-0.33382627746957305,0.1218436873747495,0.0007943094406773276,0.6448979452054795,False,upreg,Th
CDC42,-0.16446845387015524,0.008399160083991601,0.3340951363253357,0.3248,0.017490683364096024,0.808634792861151,False,upreg,Th
HNRNPR,-0.06862952680941596,0.17078292170782922,-0.33018332253540195,0.0092,0.24618941286413923,0.27263846153846155,False,upreg,Th
RPL11,-0.04958233178713987,0.025797420257974202,0.07984877783973333,0.8025197480251974,0.04699033642735018,0.9518428900845504,False,upreg,Th
PITHD1,-0.27755972991506056,0.0007999200079992001,-0.37950726910441457,0.2864,0.0021935943060498223,0.7982158273381293,False,upreg,Th
RCAN3,0.009257632728093818,0.8591140885911409,-0.049374729802661756,0.9022,0.9006087146387401,0.9797625762711865,False,upreg,Th
