gene_1,gene_2,corr_coef,corr_pval,corr_fdr,ctrl,stim,ctrl_mag,stim_mag,sig,TF
CREM,ARID5A,0.159828827643034,0.2383,0.31975081967213115,0.22401869456663626,0.35687803541786267,0.22401869456663626,0.35687803541786267,False,1
CREM,IL7R,-0.3194223914602851,0.0019,0.045360000000000004,0.42024213240801794,0.1008197409477329,0.42024213240801794,0.1008197409477329,True,1
CREM,NELFE,0.381593223022162,0.0473,0.13211379310344828,-0.0029676170629347057,0.35659541166369435,0.0029676170629347057,0.35659541166369435,True,1
CREM,PRKAG2,0.15047763903974792,0.3994,0.46216285714285715,0.19252101611042644,0.42117044843496326,0.19252101611042644,0.42117044843496326,False,1
CREM,SAT1,0.23428359528320322,0.0045,0.05207142857142857,0.13581958274386347,0.37010317802706644,0.13581958274386347,0.37010317802706644,True,1
CREM,SHOC2,-0.5416288122043654,0.0023,0.045360000000000004,0.3699716322320853,-0.25889813191639627,0.3699716322320853,0.25889813191639627,True,1
CREM,SDHD,-0.3974271114529383,0.0138,0.0999,0.3865879732286918,0.005493510965347475,0.3865879732286918,0.005493510965347475,True,1
CREM,H3F3B,0.21266633943355523,0.0019,0.045360000000000004,0.15062583040094144,0.3632921698344965,0.15062583040094144,0.3632921698344965,True,1
CREM,SOCS3,0.2534563592359143,0.0516,0.1363935483870968,0.1735394698875433,0.4269958291234574,0.1735394698875433,0.4269958291234574,True,1
ZNF267,CACYBP,-0.3109185187906733,0.0307,0.14536000000000002,0.38310201632730606,0.0964426815826258,0.38310201632730606,0.0964426815826258,True,1
ZNF267,HIGD1A,0.35518037468137276,0.1266,0.24781276595744678,-0.4291453933072962,-0.13988563491145686,0.4291453933072962,0.13988563491145686,False,1
ZNF267,CCRL2,0.354391204920586,0.0206,0.14536000000000002,0.08618738743605667,0.4213462108045331,0.08618738743605667,0.4213462108045331,True,1
ZNF267,COX7C,-0.6065216155064168,0.054,0.18103225806451612,0.4706979094075199,-0.11415352597052363,0.4706979094075199,0.11415352597052363,False,1
ZNF267,ZMAT2,-0.4602405374418636,0.0097,0.14536000000000002,0.12650132647651802,-0.30492342514317566,0.12650132647651802,0.30492342514317566,True,1
ZNF267,SQSTM1,-0.3123823139925843,0.0241,0.14536000000000002,0.3720153537492928,0.08379888273284267,0.3720153537492928,0.08379888273284267,True,1
ZNF267,ZNHIT1,-0.3558163367420435,0.1424,0.262016,-0.01067093776898284,-0.32420280305242427,0.01067093776898284,0.32420280305242427,False,1
ZNF267,MKRN1,-0.33218267777746996,0.0797,0.2221939393939394,0.006402672785177552,-0.3054233191533432,0.006402672785177552,0.3054233191533432,False,1
ZNF267,STX5,0.0938903154925661,0.6031,0.6305136363636363,-0.3198272714063045,-0.17994528068150079,0.3198272714063045,0.17994528068150079,False,1
ZNF267,C11orf73,-0.4593871317373414,0.0307,0.14536000000000002,0.11529912695779432,-0.3101443738623864,0.11529912695779432,0.3101443738623864,True,1
ZNF267,LAMP1,0.22019747235421383,0.3016,0.3749621621621621,0.15962587273603834,0.36958144436813634,0.15962587273603834,0.36958144436813634,False,1
ZNF267,SPG21,-0.6033979522449388,0.014,0.14536000000000002,0.35798903555217276,-0.14214593597924044,0.35798903555217276,0.14214593597924044,True,1
ZNF267,ANP32A,0.6814087117982351,0.0048,0.14536000000000002,-0.30225280062081455,0.3113490748627413,0.30225280062081455,0.3113490748627413,True,1
ZNF267,PSMG2,-0.40941848903748856,0.0849,0.22316571428571427,0.46130492854856664,0.08529255894078498,0.46130492854856664,0.08529255894078498,False,1
ZNF267,TMEM230,0.5773375727266746,0.0842,0.22316571428571427,-0.2003695602854697,0.35752069363421113,0.2003695602854697,0.35752069363421113,False,1
ZNF267,USP16,0.3862397756074452,0.119,0.24781276595744678,-0.33364701638327876,0.02302480426012221,0.33364701638327876,0.02302480426012221,False,1
NR1H2,SEP15,-0.30035525431255383,0.3245,0.45240233918128653,0.45061061431263133,0.1943932826825128,0.45061061431263133,0.1943932826825128,False,1
NR1H2,SSR2,0.2708804756779638,0.201,0.37647619047619046,0.22864054012915555,0.45351321127083616,0.22864054012915555,0.45351321127083616,False,1
NR1H2,PEA15,0.22228277849726572,0.2715,0.4234026315789474,-0.009013731972359247,0.4025800236673481,0.009013731972359247,0.4025800236673481,False,1
NR1H2,CD48,0.3812302393026461,0.0156,0.1703304347826087,-0.30121190360047184,0.06288132195623232,0.30121190360047184,0.06288132195623232,False,1
NR1H2,RAB10,0.42164570464952106,0.0227,0.178475,0.06936786452546267,0.4671363211457261,0.06936786452546267,0.4671363211457261,False,1
NR1H2,RTN4,0.3481087560169487,0.0692,0.29516164383561644,-0.05249693584731209,0.3551966868734018,0.05249693584731209,0.3551966868734018,False,1
NR1H2,ANXA4,0.7110423065765609,0.0056,0.13216,-0.35643486027921667,0.31728970033136145,0.35643486027921667,0.31728970033136145,True,1
NR1H2,SS18L2,0.3433740730598923,0.2513,0.4090124137931035,0.08611074541786425,0.39501239198113336,0.08611074541786425,0.39501239198113336,False,1
NR1H2,RHOA,0.41651677251402885,0.0317,0.2021945945945946,-0.03415251714442029,0.3532066548559627,0.03415251714442029,0.3532066548559627,False,1
NR1H2,TIPARP,-0.19279923083022144,0.4014,0.5072106951871658,0.3953841927363913,0.20491379696754428,0.3953841927363913,0.20491379696754428,False,1
NR1H2,CCDC109B,0.3400203974970723,0.0704,0.29516164383561644,0.09003478201821452,0.40186304400788436,0.09003478201821452,0.40186304400788436,False,1
