SOURCE,TARGET,CTRL,STIM,CTRL_MAG,STIM_MAG
NR3C1,GLUL,0.3125342933344655,0.014606518670916557,0.3125342933344655,0.014606518670916557
NR3C1,CCR5,-0.33189300540834665,-0.1254247676115483,0.33189300540834665,0.1254247676115483
NR3C1,CISD2,-0.3216154742985964,0.23069891706109047,0.3216154742985964,0.23069891706109047
NR3C1,NR3C1,0.9987809285521507,0.9975698441267014,0.9987809285521507,0.9975698441267014
NR3C1,EZR,0.4292266401462257,-0.15141628007404506,0.4292266401462257,0.15141628007404506
NR3C1,GSTK1,0.3057052744552493,0.032179709523916245,0.3057052744552493,0.032179709523916245
NR3C1,HNRNPH2,0.3241903558373451,-0.034164824988693,0.3241903558373451,0.034164824988693
NR3C1,TLN1,-0.37372163822874427,-0.19763675204012543,0.37372163822874427,0.19763675204012543
NR3C1,AAED1,-0.30969708831980824,-0.13413128070533276,0.30969708831980824,0.13413128070533276
NR3C1,RPL7A,0.31804749090224504,0.12143182288855314,0.31804749090224504,0.12143182288855314
NR3C1,TMBIM6,0.32736516324803233,0.030271321651525795,0.32736516324803233,0.030271321651525795
NR3C1,LACC1,-0.32910759933292866,-0.0010786436032503843,0.32910759933292866,0.0010786436032503843
NR3C1,NEDD8,0.32721345516620204,-0.15599604696035385,0.32721345516620204,0.15599604696035385
NR3C1,PSMA4,-0.32769676111638546,-0.18285921961069107,0.32769676111638546,0.18285921961069107
NR3C1,PSMD7,-0.3901145039126277,0.2480847453698516,0.3901145039126277,0.2480847453698516
NR3C1,SLC16A3,-0.307039197999984,-0.16461401607375592,0.307039197999984,0.16461401607375592
NR3C1,EMILIN2,-0.5305706285871565,-0.04930987430270761,0.5305706285871565,0.04930987430270761
HBP1,SSU72,-0.31843677442520857,-0.12219764129258692,0.31843677442520857,0.12219764129258692
HBP1,LAMTOR5,-0.36977262794971466,-0.08324211509898305,0.36977262794971466,0.08324211509898305
HBP1,XRCC5,-0.3213080819696188,-0.07269510230980814,0.3213080819696188,0.07269510230980814
HBP1,SELT,-0.3452761843800545,0.004735096474178135,0.3452761843800545,0.004735096474178135
HBP1,ATP5J2,-0.3197948122397065,-0.10203173384070396,0.3197948122397065,0.10203173384070396
HBP1,HBP1,0.9981979504227638,0.9981825426220894,0.9981979504227638,0.9981825426220894
HBP1,STIP1,0.30101538076996803,-0.02225437667220831,0.30101538076996803,0.02225437667220831
HBP1,SAP18,-0.3184388168156147,0.04068887000903487,0.3184388168156147,0.04068887000903487
HBP1,PSMA6,-0.3537244196049869,-0.16074809432029724,0.3537244196049869,0.16074809432029724
HBP1,PSEN1,0.3326334925368428,0.02063990943133831,0.3326334925368428,0.02063990943133831
HBP1,KARS,-0.3014904912561178,-0.11613879562355578,0.3014904912561178,0.11613879562355578
HBP1,SNF8,-0.3053890089504421,-0.245128330308944,0.3053890089504421,0.245128330308944
HBP1,SNAP29,-0.3022075239568949,0.10229891516792122,0.3022075239568949,0.10229891516792122
NFKB1,RPL37A,-0.3192537743598223,0.05989687901455909,0.3192537743598223,0.05989687901455909
NFKB1,UBE2F,-0.31092188507318497,-0.2253539771772921,0.31092188507318497,0.2253539771772921
NFKB1,CCR5,-0.3021646961569786,-0.10573001578450203,0.3021646961569786,0.10573001578450203
NFKB1,ATG3,-0.42196263931691647,-0.17099529458209872,0.42196263931691647,0.17099529458209872
NFKB1,WDR1,0.30065077170729637,-0.35044050216674805,0.30065077170729637,0.35044050216674805
NFKB1,NFKB1,0.8735631927847862,0.9985084980726242,0.8735631927847862,0.9985084980726242
NFKB1,RPL37,0.37517497688531876,0.1310736844316125,0.37517497688531876,0.1310736844316125
NFKB1,SRI,-0.31072581370244734,-0.08738836646080017,0.31072581370244734,0.08738836646080017
NFKB1,HPRT1,-0.32463515596464276,0.09957260265946388,0.32463515596464276,0.09957260265946388
NFKB1,NANS,-0.36950941756367683,-0.010179910401348025,0.36950941756367683,0.010179910401348025
NFKB1,VPS26A,-0.30287019023671746,-0.11753398785367608,0.30287019023671746,0.11753398785367608
NFKB1,COX8A,-0.30480746552348137,0.0709827593236696,0.30480746552348137,0.0709827593236696
NFKB1,ARPC3,-0.30808791797608137,0.03368064435198903,0.30808791797608137,0.03368064435198903
NFKB1,SPNS1,-0.30181208811700344,-0.1738640647381544,0.30181208811700344,0.1738640647381544
NFKB1,GABARAPL2,0.3210538229905069,0.047756779938936234,0.3210538229905069,0.047756779938936234
NFKB1,STAT3,0.3147687357850373,-0.3116692267358303,0.3147687357850373,0.3116692267358303
NFKB1,MYO1F,-0.37505530565977097,-0.1258747996762395,0.37505530565977097,0.1258747996762395
MAX,MOB4,0.30032690800726414,-0.04184457287192345,0.30032690800726414,0.04184457287192345
MAX,SGTB,0.3233830686658621,-0.05403378795017488,0.3233830686658621,0.05403378795017488
MAX,BLOC1S1,-0.33904906176030636,0.0259352158755064,0.33904906176030636,0.0259352158755064
MAX,LINC00936,-0.3013614108785987,-0.07905246503651142,0.3013614108785987,0.07905246503651142
MAX,SLC25A3,0.4289560541510582,0.02313095796853304,0.4289560541510582,0.02313095796853304
MAX,MAX,0.8737844154238701,0.9983338192105293,0.8737844154238701,0.9983338192105293
MAX,KARS,0.3264188300818205,-0.06761873420327902,0.3264188300818205,0.06761873420327902
MAX,FBXO7,0.30740490928292274,0.011671307496726513,0.30740490928292274,0.011671307496726513
CEBPB,HNRNPA3,0.30478241946548223,-0.012450739741325378,0.30478241946548223,0.012450739741325378
CEBPB,RPL23,-0.3496144558303058,0.04708828590810299,0.3496144558303058,0.04708828590810299
