W	pval	group
8132483702.5	0.962388842247714	B
11267860601	0.999995771409013	EPI
6829955120	0.289952922829298	myeloid
5029628669.5	0.00000000000000000989810820641828	nk
48233647241.5	0.999999999630288	open
22946846449	0.398076976636476	progenitor
12534678435.5	0.000855320138030234	T
2411098870.5	0.70712421043779	thymocyte
